1,3,0,1,2,0
2,3,0,1,1,2
2,3,0,2,1,1
1,3,0,2,2,1
0,3,0,1,2,2
0,4,1,0,1,2
2,5,1,0,0,1
2,6,1,2,0,0
1,7,1,2,2,0
0,9,2,1,2,2
2,10,1,0,1,2
1,11,1,2,0,1
1,12,1,1,2,0
1,13,1,1,1,2
2,14,1,1,1,1
1,15,1,2,1,1
2,16,1,1,2,1
2,17,1,2,1,2
2,18,1,2,2,1
2,19,1,2,2,2
0,20,1,2,2,2
2,21,1,0,2,2
0,22,1,2,0,2
0,23,1,0,2,0
1,24,1,0,0,2
2,25,1,1,0,0
2,26,1,2,1,0
2,27,1,2,2,1
1,28,1,2,2,2
1,29,1,1,2,2
0,30,1,1,1,2
2,1,1,0,1,1
0,2,1,2,0,1
0,3,1,0,2,0
2,4,1,0,0,2
1,5,1,2,0,0
0,6,1,1,2,0
1,7,1,0,1,2
2,8,1,1,0,1
1,9,1,2,1,0
0,10,1,1,2,1
2,11,1,0,1,2
1,12,1,2,0,1
1,13,1,1,2,0
0,14,1,1,1,2
1,15,1,0,1,1
0,16,1,1,0,1
1,17,1,0,1,0
1,18,1,1,0,1
1,19,1,1,1,0
0,20,1,1,1,1
2,21,1,0,1,1
0,22,1,2,0,1
1,23,1,0,2,0
2,24,1,1,0,2
0,24,0,2,1,0
2,25,1,0,2,1
0,26,1,2,0,2
1,28,2,0,2,0
1,29,1,1,0,2
2,30,1,1,1,0
0,31,1,2,1,1
2,1,1,0,2,1
2,2,1,2,0,2
0,3,1,2,2,0
1,4,1,0,2,2
2,5,1,1,0,2
1,6,1,2,1,0
0,7,1,1,2,1
2,8,1,0,1,2
1,9,1,2,0,1
0,10,1,1,2,0
1,11,1,0,1,2
2,12,1,1,0,1
0,13,1,2,1,0
2,14,1,0,2,1
1,15,1,2,0,2
0,16,1,1,2,0
2,17,1,0,1,2
2,18,1,2,0,1
0,19,1,2,2,0
1,20,1,0,2,2
1,21,1,1,0,2
2,22,1,1,1,0
0,23,1,2,1,1
1,24,1,0,2,1
2,25,1,1,0,2
0,26,1,2,1,0
0,27,1,0,2,1
0,28,1,0,0,2
1,29,1,0,0,0
1,30,1,1,0,0
1,31,1,1,1,0
0,1,1,1,1,1
0,2,1,0,1,1
2,3,1,0,0,1
1,4,1,2,0,0
0,5,1,1,2,0
0,6,1,0,1,2
1,7,1,0,0,1
0,9,2,1,0,0
2,10,1,0,1,0
0,11,1,2,0,1
1,12,1,0,2,0
1,13,1,1,0,2
1,14,1,1,1,0
2,15,1,1,1,1
1,16,1,2,1,1
0,17,1,1,2,1
2,18,1,0,1,2
2,19,1,2,0,1
0,20,1,2,2,0
0,21,1,0,2,2
1,22,1,0,0,2
1,23,1,1,0,0
0,24,1,1,1,0
2,25,1,0,1,1
2,26,1,2,0,1
1,27,1,2,2,0
2,1,2,1,2,2
2,2,1,2,1,2
1,3,1,2,2,1
0,4,1,1,2,2
0,5,1,0,1,2
0,6,1,0,0,1
0,7,1,0,0,0
0,8,1,0,0,0
1,9,1,0,0,0
1,10,1,1,0,0
0,12,2,1,1,0
1,13,1,0,1,1
0,14,1,1,0,1
2,15,1,0,1,0
2,17,2,2,0,1
1,18,1,2,2,0
0,19,1,1,2,2
2,20,1,0,1,2
0,21,1,2,0,1
0,22,1,0,2,0
1,23,1,0,0,2
1,24,1,1,0,0
2,25,1,1,1,0
1,26,1,2,1,1
0,27,1,1,2,1
2,28,1,0,1,2
1,29,1,2,0,1
2,30,1,1,2,0
1,31,1,2,1,2
0,1,1,1,2,1
1,2,1,0,1,2
0,3,1,1,0,1
0,4,1,0,1,0
2,5,1,0,0,1
0,6,1,2,0,0
2,7,1,0,2,0
2,8,1,2,0,2
1,9,1,2,2,0
0,10,1,1,2,2
1,11,1,0,1,2
2,12,1,1,0,1
0,13,1,2,1,0
1,14,1,0,2,1
0,15,1,1,0,2
2,16,1,0,1,0
0,17,1,2,0,1
0,18,1,0,2,0
0,19,1,0,0,2
0,20,1,0,0,0
0,21,1,0,0,0
2,22,1,0,0,0
1,23,1,2,0,0
2,24,1,1,2,0
1,25,1,2,1,2
0,26,1,1,2,1
2,27,1,0,1,2
2,28,1,2,0,1
1,29,1,2,2,0
2,30,1,1,2,2
1,1,1,2,1,2
1,2,1,1,2,1
0,3,1,1,1,2
2,4,1,0,1,1
1,5,1,2,0,1
0,6,1,1,2,0
1,7,1,0,1,2
2,8,1,1,0,1
2,9,1,2,1,0
1,10,1,2,2,1
0,11,1,1,2,2
0,12,1,0,1,2
2,13,1,0,0,1
0,14,1,2,0,0
1,15,1,0,2,0
2,16,1,1,0,2
0,17,1,2,1,0
1,18,1,0,2,1
2,19,1,1,0,2
0,20,1,2,1,0
2,21,1,0,2,1
1,22,1,2,0,2
0,23,1,1,2,0
1,24,1,0,1,2
2,25,1,1,0,1
2,26,1,2,1,0
0,27,1,2,2,1
0,28,1,0,2,2
0,29,1,0,0,2
0,30,1,0,0,0
1,31,1,0,0,0
1,1,1,1,0,0
0,2,1,1,1,0
2,3,1,0,1,1
0,4,1,2,0,1
2,5,1,0,2,0
1,6,1,2,0,2
0,7,1,1,2,0
2,8,1,0,1,2
1,9,1,2,0,1
1,11,2,1,2,0
2,12,1,1,1,2
1,13,1,2,1,1
0,14,1,1,2,1
2,15,1,0,1,2
0,16,1,2,0,1
2,17,1,0,2,0
1,18,1,2,0,2
1,19,1,1,2,0
2,20,1,1,1,2
1,21,1,2,1,1
0,22,1,1,2,1
2,23,1,0,1,2
1,24,1,2,0,1
0,25,1,1,2,0
2,26,1,0,1,2
1,27,1,2,0,1
2,28,1,1,2,0
1,29,1,2,1,2
1,30,1,1,2,1
1,1,1,1,1,2
2,2,1,1,1,1
0,3,1,2,1,1
1,4,1,0,2,1
1,5,1,1,0,2
0,6,1,1,1,0
1,7,1,0,1,1
2,8,1,1,0,1
0,9,1,2,1,0
0,10,1,0,2,1
0,11,1,0,0,2
1,12,1,0,0,0
2,13,1,1,0,0
0,14,1,2,1,0
2,15,1,0,2,1
0,16,1,2,0,2
